ID,Square,Level,Chronology,RawMaterial,DamagedPlatforms,Width_PlatformA,NScars_PlatformA,DamageDegree_PlatformA,ScarShape_PlatformA,ScarDistribution_PlatformA,ScarArrangement_PlatformA,MaxScarSize_PlatformA,AverageScarSize_PlatformA,ScarExtention_PlatformA,ScarFacialDistribution_PlatformA,ScarEdgeDelineation_PlatformA,Angle_PlatformA,Width_PlatformB,NScars_PlatformB,DamageDegree_PlatformB,ScarShape_PlatformB,ScarDistribution_PlatformB,ScarArrangement_PlatformB,MaxScarSize_PlatformB,AverageScarSize_PlatformB,ScarExtention_PlatformB,ScarFacialDistribution_PlatformB,ScarEdgeDelineation_PlatformB,Angle_PlatformB,Width_PlatformC,NScars_PlatformC,DamageDegree_PlatformC,ScarShape_PlatformC,ScarDistribution_PlatformC,ScarArrangement_PlatformC,MaxScarSize_PlatformC,AverageScarSize_PlatformC,ScarExtention_PlatformC,ScarFacialDistribution_PlatformC,ScarEdgeDelineation_PlatformC,Angle_PlatformC,Width_PlatformD,NScars_PlatformD,DamageDegree_PlatformD,ScarShape_PlatformD,ScarDistribution_PlatformD,ScarArrangement_PlatformD,MaxScarSize_PlatformD,AverageScarSize_PlatformD,ScarExtention_PlatformD,ScarFacialDistribution_PlatformD,ScarEdgeDelineation_PlatformD,Angle_PlatformD
3258,ZZ27,8,Gravettian,Chert,2,20.13,2,Medium,Half_Moon,Lateral_Central,Isolated,6.28,6.28,Marginal,Unifacial,Straight,>45,14.25,2,Low,Triangular,Lateral_Central,Aligned,5.72,5.72,Invasive,Bifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2681,G24,17,Gravettian,Chert,3,16.02,4,Medium,Trapezoidal,Total,Overlapped,12.97,12.97,Invasive,Unifacial,Concave,<45,1619,9,Medium,Semi_Circular,Total,Aligned,4.59,4.58,Marginal,Unifacial,Concave,>45,16.91,7,Medium,Mixed,Lateral_Central,Aligned_Overlapped,5.90,5.30,Marginal,Unifacial,Concave,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2352,ZZ25,7,Solutrean,Chert,3,17.31,4,Medium,Mixed,Total,Aligned,7.09,4.08,Mixed_Marginal,Bifacial,Oblique,>45,18.56,3,Low,Half_Moon,Total,Aligned,3.7,2.26,Marginal,Bifacial,Oblique,>45,22.14,2,Low,Half_Moon,Lateral_Central,Aligned,3.80,3.80,Marginal,Unifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid26,G25,2,Magdalenian,Chert,2,7.42,6,High,Mixed,Central,Overlapped,5.24,2.32,Marginal,Bifacial,Concave,>45,6.87,5,High,Irregular,Central,Overlapped,4.02,1.95,Marginal,Bifacial,Pointed,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid28,G25,5,Solutrean,Chert,2,11.71,6,High,Irregular,Total,Overlapped,4.66,3.26,Marginal,Unifacial,Straight,>45,12.3,8,Medium,Half_Moon,Total,Aligned,6.01,2.95,Mixed_Marginal,Bifacial,Concave,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid29,G25,5,Solutrean,Chert,2,7.21,4,Low,Half_Moon,Lateral_Central,Overlapped,2.95,2.68,Marginal,Unifacial,Irregular,Platform,16.6,5,Medium,Half_Moon,Lateral_Central,Overlapped,3.95,3.95,Marginal,Bifacial,Irregular,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2859,H23,13,Gravettian,Chert,4_or_more,19.42,8,High,Quadrangular,Total,Aligned_Overlapped,11.09,3.91,Mixed_Marginal,Unifacial,Oblique,>45,39.1,10,Medium,Semi_Circular,Total,Aligned_Overlapped,4.89,4.89,Marginal,Unifacial,Straight,>45,19.66,8,High,Half_Moon,Total,Aligned_Overlapped,3.96,3.96,Marginal,Unifacial,Oblique,>45,31.36,4,High,Semi_Circular,Lateral_Central,Aligned_Overlapped,11.84,8.35,Invasive,Unifacial,Irregular,>45
1531,G24,10,Proto-Solutrean,Chert,3,10.13,1,Low,Triangular,Central,Isolated,5.75,5.75,Invasive,Unifacial,Pointed,Platform,10.05,2,High,Quadrangular,Lateral_Central,Overlapped,8.92,6.31,Invasive,Unifacial,Oblique,>45,18.35,12,High,Mixed,Total,Aligned_Overlapped,7.51,4.20,Mixed_Marginal,Bifacial,Irregular,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
639,H21,4,Solutrean,Chert,2,15.86,4,Medium,Half_Moon,Total,Overlapped,4.49,3.14,Marginal,Unifacial,Oblique,>45,20.43,5,High,Half_Moon,Lateral_Central,Overlapped,9.59,6.3,Mixed_Invasive,Unifacial,Oblique,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid1,G25,6,Solutrean,Chert,2,18.09,4,High,Irregular,Total,Overlapped,10.34,6.81,Invasive,Bifacial,Oblique,>45,9.28,3,Medium,Quadrangular,Total,Overlapped,7.52,3.71,Mixed_Invasive,Bifacial,Pointed,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
